"urbanType","urbanName","Richness","lawn"
3,"Suburban",30,"Yes"
8,"Developed",3,"Yes"
9,"Dense",22,"No"
9,"Dense",1,"Yes"
8,"Developed",22,"No"
8,"Developed",15,"No"
9,"Dense",19,"Yes"
9,"Dense",16,"No"
9,"Dense",19,"Yes"
3,"Suburban",8,"No"
3,"Suburban",20,"No"
3,"Suburban",25,"No"
3,"Suburban",8,"No"
8,"Developed",20,"No"
9,"Dense",8,"Yes"
1,"Natural",15,"No"
3,"Suburban",14,"No"
3,"Suburban",18,"Yes"
9,"Dense",8,"Yes"
9,"Dense",8,"Yes"
9,"Dense",12,"Yes"
3,"Suburban",24,"Yes"
9,"Dense",25,"No"
8,"Developed",16,"No"
9,"Dense",21,"No"
8,"Developed",38,"No"
8,"Developed",29,"No"
9,"Dense",21,"Yes"
8,"Developed",12,"No"
9,"Dense",0,"Yes"
8,"Developed",5,"Yes"
3,"Suburban",15,"No"
9,"Dense",25,"Yes"
3,"Suburban",19,"Yes"
3,"Suburban",19,"No"
1,"Natural",21,"No"
1,"Natural",41,"No"
9,"Dense",15,"Yes"
9,"Dense",12,"Yes"
8,"Developed",16,"No"
8,"Developed",21,"No"
3,"Suburban",21,"No"
3,"Suburban",43,"No"
9,"Dense",16,"Yes"
3,"Suburban",12,"No"
3,"Suburban",9,"No"
3,"Suburban",26,"Yes"
9,"Dense",2,"Yes"
3,"Suburban",24,"No"
3,"Suburban",41,"No"
9,"Dense",28,"Yes"
9,"Dense",31,"Yes"
8,"Developed",28,"No"
9,"Dense",23,"No"
8,"Developed",35,"No"
8,"Developed",30,"No"
9,"Dense",34,"No"
9,"Dense",34,"No"
8,"Developed",8,"Yes"
3,"Suburban",40,"No"
3,"Suburban",29,"No"
3,"Suburban",34,"Yes"
3,"Suburban",29,"Yes"
3,"Suburban",32,"No"
3,"Suburban",34,"No"
1,"Natural",38,"No"
3,"Suburban",29,"No"
8,"Developed",26,"No"
3,"Suburban",41,"No"
3,"Suburban",5,"No"
9,"Dense",28,"Yes"
9,"Dense",24,"Yes"
9,"Dense",45,"Yes"
3,"Suburban",28,"Yes"
8,"Developed",8,"Yes"
8,"Developed",25,"No"
8,"Developed",27,"No"
9,"Dense",23,"No"
9,"Dense",13,"No"
9,"Dense",4,"Yes"
9,"Dense",2,"Yes"
9,"Dense",41,"Yes"
9,"Dense",25,"Yes"
9,"Dense",43,"No"
8,"Developed",48,"No"
8,"Developed",53,"No"
3,"Suburban",37,"No"
1,"Natural",44,"No"
3,"Suburban",51,"Yes"
3,"Suburban",37,"No"
9,"Dense",36,"Yes"
3,"Suburban",37,"No"
3,"Suburban",34,"No"
8,"Developed",49,"No"
8,"Developed",25,"No"
3,"Suburban",24,"No"
3,"Suburban",16,"No"
9,"Dense",38,"Yes"
9,"Dense",22,"Yes"
9,"Dense",26,"Yes"
9,"Dense",11,"Yes"
8,"Developed",32,"No"
8,"Developed",29,"No"
3,"Suburban",35,"Yes"
3,"Suburban",42,"Yes"
8,"Developed",14,"Yes"
8,"Developed",4,"Yes"
9,"Dense",29,"Yes"
9,"Dense",12,"No"
8,"Developed",45,"No"
8,"Developed",24,"No"
9,"Dense",39,"No"
9,"Dense",2,"Yes"
8,"Developed",15,"No"
3,"Suburban",31,"No"
9,"Dense",32,"Yes"
3,"Suburban",25,"No"
3,"Suburban",19,"No"
3,"Suburban",26,"Yes"
3,"Suburban",22,"Yes"
1,"Natural",43,"No"
1,"Natural",48,"No"
3,"Suburban",12,"No"
3,"Suburban",37,"No"
3,"Suburban",27,"No"
3,"Suburban",43,"No"
3,"Suburban",40,"No"
9,"Dense",32,"Yes"
8,"Developed",19,"No"
9,"Dense",17,"Yes"
3,"Suburban",44,"Yes"
8,"Developed",12,"Yes"
9,"Dense",19,"Yes"
9,"Dense",36,"Yes"
9,"Dense",9,"No"
8,"Developed",18,"No"
8,"Developed",5,"No"
8,"Developed",29,"No"
9,"Dense",3,"Yes"
9,"Dense",40,"No"
9,"Dense",35,"No"
8,"Developed",45,"No"
8,"Developed",38,"No"
3,"Suburban",28,"No"
3,"Suburban",25,"No"
3,"Suburban",30,"Yes"
3,"Suburban",11,"No"
1,"Natural",28,"No"
9,"Dense",13,"Yes"
3,"Suburban",20,"No"
3,"Suburban",22,"No"
3,"Suburban",22,"No"
9,"Dense",17,"Yes"
9,"Dense",11,"Yes"
3,"Suburban",26,"Yes"
3,"Suburban",24,"Yes"
8,"Developed",25,"No"
8,"Developed",30,"No"
8,"Developed",8,"Yes"
8,"Developed",7,"Yes"
8,"Developed",7,"No"
8,"Developed",24,"No"
8,"Developed",7,"No"
9,"Dense",19,"No"
9,"Dense",16,"No"
9,"Dense",21,"Yes"
9,"Dense",15,"Yes"
9,"Dense",4,"Yes"
9,"Dense",3,"Yes"
9,"Dense",34,"No"
8,"Developed",38,"No"
3,"Suburban",15,"No"
9,"Dense",13,"Yes"
3,"Suburban",5,"No"
1,"Natural",39,"No"
3,"Suburban",29,"Yes"
3,"Suburban",22,"Yes"
3,"Suburban",9,"No"
3,"Suburban",20,"No"
3,"Suburban",14,"No"
3,"Suburban",15,"No"
3,"Suburban",28,"No"
3,"Suburban",31,"No"
9,"Dense",29,"Yes"
9,"Dense",24,"Yes"
9,"Dense",6,"Yes"
9,"Dense",21,"Yes"
8,"Developed",0,"Yes"
3,"Suburban",12,"Yes"
8,"Developed",20,"No"
9,"Dense",3,"Yes"
9,"Dense",23,"No"
9,"Dense",19,"Yes"
8,"Developed",20,"No"
8,"Developed",9,"No"
8,"Developed",29,"No"
8,"Developed",21,"No"
9,"Dense",13,"Yes"
3,"Suburban",15,"No"
3,"Suburban",11,"No"
1,"Natural",33,"No"
1,"Natural",20,"No"
3,"Suburban",4,"No"
3,"Suburban",5,"No"
3,"Suburban",24,"Yes"
3,"Suburban",20,"No"
3,"Suburban",34,"No"
9,"Dense",22,"Yes"
9,"Dense",20,"Yes"
3,"Suburban",25,"No"
9,"Dense",1,"Yes"
8,"Developed",21,"No"
8,"Developed",24,"No"
3,"Suburban",13,"Yes"
8,"Developed",15,"Yes"
8,"Developed",6,"Yes"
8,"Developed",12,"No"
8,"Developed",11,"No"
8,"Developed",23,"No"
9,"Dense",16,"Yes"
9,"Dense",12,"Yes"
9,"Dense",16,"Yes"
9,"Dense",9,"Yes"
9,"Dense",19,"No"
9,"Dense",12,"No"
8,"Developed",14,"No"
9,"Dense",37,"No"
9,"Dense",29,"No"
9,"Dense",37,"No"
3,"Suburban",28,"No"
1,"Natural",19,"No"
3,"Suburban",20,"Yes"
3,"Suburban",5,"No"
3,"Suburban",14,"No"
3,"Suburban",9,"No"
3,"Suburban",23,"No"
9,"Dense",26,"Yes"
9,"Dense",20,"Yes"
3,"Suburban",10,"Yes"
8,"Developed",17,"No"
